age,education_num,hours_per_week,workclass,marital_status,occupation,sex,income
45.00000000000001,9.0,37.10651564598084,Private,status_Divorced,Other-service,Female,<=50K
41.00000000000001,9.820324540138245,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
32.0,9.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
54.00000000000001,6.0,40.0,Private,status_Married-civ-spouse,Handlers-cleaners,Male,<=50K
36.0,11.204156637191772,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
38.99999999999999,13.0,40.0,Private,status_Never-married,Prof-specialty,Male,<=50K
18.0,7.0,14.999999999999998,Private,status_Never-married,Sales,Female,<=50K
28.0,13.0,65.0,Private,status_Never-married,Sales,Male,<=50K
54.00000000000001,10.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Sales,Male,<=50K
54.00000000000001,13.0,50.00000000000001,Local-gov,status_Never-married,Prof-specialty,Male,<=50K
36.0,10.0,48.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
30.0,9.0,62.0,Private,status_Married-civ-spouse,Exec-managerial,Male,<=50K
42.99999999999999,11.0,25.000000000000004,Self-emp-not-inc,status_Divorced,Exec-managerial,Male,<=50K
26.0,10.0,50.00000000000001,Private,status_Never-married,Priv-house-serv,Female,<=50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Female,<=50K
46.99999999999999,13.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Male,<=50K
30.0,9.148204982280731,59.99999999999999,Private,status_Never-married,Prof-specialty,Female,<=50K
37.00000000000001,9.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Craft-repair,Male,<=50K
35.0,11.48562228679657,45.0,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
58.99999999999999,9.237723708152771,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
37.00000000000001,10.0,40.0,Private,status_Divorced,Tech-support,Female,<=50K
46.99999999999999,9.0,50.00000000000001,Private,status_Married-civ-spouse,Adm-clerical,Male,>50K
18.0,9.0,25.000000000000004,Private,status_Never-married,Handlers-cleaners,Male,<=50K
34.0,8.653709352016449,48.0,Private,status_Married-civ-spouse,Craft-repair,Male,>50K
34.0,16.0,59.99999999999999,State-gov,status_Never-married,Prof-specialty,Female,<=50K
44.0,8.476489096879959,36.0,Private,status_Never-married,Transport-moving,Male,<=50K
34.0,16.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
25.0,13.0,50.00000000000001,Private,status_Never-married,Exec-managerial,Male,<=50K
33.0,11.062479674816132,40.0,Local-gov,status_Divorced,Craft-repair,Male,<=50K
35.0,13.0,34.1662439107895,Federal-gov,status_Widowed,Adm-clerical,Male,>50K
27.0,14.0,35.0,Local-gov,status_Never-married,Prof-specialty,Male,<=50K
24.0,9.0,40.0,Private,status_Never-married,Craft-repair,Male,<=50K
32.0,11.0,45.0,Private,status_Never-married,Craft-repair,Male,<=50K
27.0,11.046737790107727,41.027662634849555,Private,status_Never-married,Tech-support,Female,<=50K
33.0,3.0,40.0,Private,status_Never-married,Other-service,Female,<=50K
33.0,9.0,40.0,Private,status_Never-married,Adm-clerical,Male,<=50K
23.0,10.0,40.0,Private,status_Divorced,Sales,Female,<=50K
33.0,10.0,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
