File,Method,MissingRate,ARI,OriginalEntropy,OriginalMutInfo,ImputedEntropy,ImputedMutInfo,ClusteringTimeSec,NClusters,NRows,NCols
dermatology_clean.data_famd_0.05_imputed.csv,0.05,0.05,0.3622230347104409,0.9961919064764013,0.012078540137659743,0.9847270612570138,0.8958907383480126,0.535783052444458,2,358,35
dermatology_clean.data_mice_0.05_imputed.csv,0.05,0.05,0.039162794283037476,0.9961919064764013,0.012078540137659743,0.7128989850811962,0.018313568877553976,2.7959909439086914,2,358,35
dermatology_clean.data_midas_0.05_imp_1.csv,imp,0.05,0.039162794283037476,0.9961919064764013,0.012078540137659743,0.7128989850811962,0.011290012041701658,2.813856840133667,2,358,35
dermatology_clean.data_midas_0.05_imp_2.csv,imp,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.011144035807173935,2.8980109691619873,2,358,35
dermatology_clean.data_midas_0.05_imp_3.csv,imp,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.011259137717461343,2.7640810012817383,2,358,35
dermatology_clean.data_midas_0.05_imp_4.csv,imp,0.05,0.039162794283037476,0.9961919064764013,0.012078540137659743,0.7128989850811962,0.011201594086024613,2.7644457817077637,2,358,35
dermatology_clean.data_midas_0.05_imp_5.csv,imp,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.011197640261956465,2.9237899780273438,2,358,35
dermatology_clean.data_midas_0.05_imputed.csv,0.05,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.011847935383304531,2.8095149993896484,2,358,35
dermatology_clean.data_midas_0.05_pooled.csv,0.05,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.011847935383304531,2.732560873031616,2,358,35
dermatology_clean.data_missforest_0.05_imputed.csv,0.05,0.05,0.03689227157628631,0.9961919064764013,0.012078540137659743,0.7185634492174499,0.01849705641297028,2.7051210403442383,2,358,35
