school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,A,4,4,teacher,teacher,course,mother,1.4441666666666668,1.88,0.029999999999999902,yes,no,no,no,yes,yes,no,no,4,2.645,4,1,1,3,4,10.925,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.62,2,0,no,yes,no,no,no,yes,yes,no,5,3.101666666666667,3,1,1,3.5716666666666663,2,9,11,11
GP,F,15,U,GT3,T,1,1,other,other,other,mother,1,2,0.0299999999999999,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
GP,F,15,U,GT3,T,4,3.62,health,health,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2.6066666666666665,3.03,1,1.8225,5,0,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2.912761904761904,1,2,5,0,11,13,13
GP,M,16,U,LE3,T,3.0780000000000003,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,1.59,5,0.77,12,12,13
GP,F,16,U,LE3,T,2,2,other,other,home,mother,1.44,2,0,no,no,no,no,yes,yes,yes,no,4.275,4,4,1,1,3,0,13,12,13
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,1.3,2,0,yes,yes,no,no,yes,yes,no,no,3.92,1,4,1,1,1,2,10,13,12.5
GP,M,15,U,LE3,T,2.6566666666666667,2,other,other,home,mother,1.415,2.37,0,no,yes,no,no,yes,yes,yes,no,3.7158333333333338,2,2,1.14,1,1,2.6833333333333336,15,16,17
GP,M,16.1725,U,GT3,T,2.9530000000000003,2.806666666666666,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1.59,5,0,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.128333333333333,3,3,1,2,2,2.1766666666666667,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,1.98,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1.47,3.38,0,10,12,13
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1.91,5,2.79,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,-1.5126788710517758e-16,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,3,0,12.001785714285715,12,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,no,no,no,yes,yes,yes,yes,4,5,2.766,1,1,3,0,13.42,14,15
GP,F,16.845,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3.8833333333333337,2.75,4,1,2,2,6,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2.75,3,1,1.99,2,2.7433333333333336,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2.3633333333333333,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2.1,13,14,14
GP,M,17,U,GT3,T,2.295,1.96,services,services,course,mother,1.55,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
GP,M,16,U,LE3,T,4,3,health,health,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.766666666666667,1,3,1.8433333333333335,3.3616666666666664,5,6,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1.85,1,0,12,13,14
GP,M,15,U,GT3,T,4,3.82,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,3.298,1,3,5,2.35,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0.13,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
GP,F,15,R,GT3,T,2,3.13,services,health,course,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2.5380000000000003,1,1,5,2,10,11,10
GP,F,16,U,GT3,T,2,2,services,other,home,mother,1,1.93,0,no,yes,no,no,no,yes,yes,no,4.0183333333333335,2,2,1,3,5,6,10,11,12
