"Dataset","Method","Missing_Pattern","RMSE","PFC","Correlation"
"adult_sample_mcar_FAMD.csv","FAMD","MCAR",2.01208684487287,0,0.941577009094075
"adult_sample_mnar_FAMD.csv","FAMD","MNAR",1.82475721610016,0.0064,0.945121101764765
"adult_sample_mcar_MICE.csv","MICE","MCAR",2.65409738268763,0,0.905411439868405
"adult_sample_mnar_MICE.csv","MICE","MNAR",2.52894426567945,0.00952,0.903752619444467
"adult_sample_mcar_MIDAS.csv","MIDAS","MCAR",2.01434671887251,0.2,0.941860014745916
"adult_sample_mnar_MIDAS.csv","MIDAS","MNAR",1.85572487191861,0.2064,0.943930174630962
"adult_sample_mcar_missForest.csv","missForest","MCAR",1.84337441639506,0,0.952985924217169
"adult_sample_mnar_missForest.csv","missForest","MNAR",1.70012506511682,0.0101333333333333,0.953115087121772
"adult_mcar_midas_imp_1.csv","MIDAS","MCAR",2.16968567169395,0.2,0.931286548936624
"adult_mcar_midas_imp_2.csv","MIDAS","MCAR",2.13823466952014,0.2,0.93300691117894
"adult_mcar_midas_imp_3.csv","MIDAS","MCAR",2.16501849578404,0.2,0.929594704310023
"adult_mcar_midas_imp_4.csv","MIDAS","MCAR",2.17838525029129,0.2,0.930078744195146
"adult_mcar_midas_imp_5.csv","MIDAS","MCAR",2.18016911764947,0.2,0.929590252405583
"adult_mnar_midas_imp_1.csv","MIDAS","MNAR",1.99167359209851,0.206693333333333,0.932461736904648
"adult_mnar_midas_imp_2.csv","MIDAS","MNAR",2.0404485418246,0.206933333333333,0.930267280650908
"adult_mnar_midas_imp_3.csv","MIDAS","MNAR",2.0032944560274,0.20656,0.933574799466911
"adult_mnar_midas_imp_4.csv","MIDAS","MNAR",2.03851411646104,0.206746666666667,0.929782339330134
"adult_mnar_midas_imp_5.csv","MIDAS","MNAR",1.99620667771697,0.206773333333333,0.933112775502659
