school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,A,4,4,services,teacher,course,mother,1.51,1.8459999999999999,0.03999999999999977,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,10.59,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.62,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3.58,2,9,11,11
GP,F,15,U,GT3,T,1,1,other,other,other,mother,1,2,-2.911559882079473e-16,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12
GP,F,15,U,GT3,T,4,2,health,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2.795,1,1.6541666666666668,5,0,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2.97,1,2,5,0,11,13,13
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,1.586666666666667,12,12,13
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1.23,2,0,no,no,no,no,yes,yes,yes,no,4.43,4,4,1,1,3,0,13,12,13
GP,F,17,U,GT3,A,4,4,other,teacher,course,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.026666666666666,1,4,1,1,1,2,10,13,12.308333333333332
GP,M,15,U,LE3,T,2.7471428571428573,2,other,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3.9222222222222225,2,2,1.13,1,1,2.4575,15,16,17
GP,M,15.978333333333335,U,GT3,T,2.3233333333333333,2.23,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.076666666666667,3,3,1,2,2,2.69,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1.6875,4,0,10,12,13
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1.8866666666666665,5,3.501666666666667,12,13,12
